url	categories	description	notes
https://github.com/979569650/dsh-typesafe	harness;adversarial;language	DeepSeek Harness plugin wiring Jev in as a decision/guardrail layer; includes small spot-measurements (injection guard 0.99 on a real attack / 0.01 false-positive on benign text, Chinese-input usability) but is primarily a tool, not a systematic Jev benchmark	Also cites TypeSafe's own published benchmark (67.8% Jev vs 74.1% best LLM comparator) as a caveat, not an original measurement; most 'measured results' are single-example smoke tests, not a benchmark with n>1 statistics.
https://github.com/abcdmku/Laya-vs-Jev	harness;comparison;domain-benchmark	Interactive side-by-side test bench (tic-tac-toe, trivia, inbox triage) pitting open-weight Laya against Jev; produces live win-rate/accuracy/latency tables when run, but the README itself reports no fixed numbers	"Author explicitly cautions inbox labels are ""written by hand for this repo,"" not a published benchmark."
https://github.com/abhixhek/jevcal	harness;calibration	CLI (jevcal) for measuring your own confidence thresholds, coverage and ECE against Jev on your own labelled data; ships no published Jev benchmark numbers	States outright that TypeSafe's customer agreement restricts publishing Jev performance numbers, so this README contains none on purpose.
https://github.com/adilmoujahid/jev-banking77-demo	harness;calibration;domain-benchmark	Live browser demo classifying BANKING77 support tickets with Jev's Choice primitive over all 77 intents, computing accuracy and confidence-threshold calibration metrics in the UI; no fixed result numbers are given in the README	Well-specified calibration methodology (confidence vs accuracy, coverage/abstain) but the README itself contains no static result table.
https://agentconn.com/blog/jev-typesafe-new-agent-layer-if-calibration-holds	comparison;calibration;meta	Cites an independent test finding Jev ~2.9x faster and ~12x cheaper than frontier LLMs, far below TypeSafe's claimed 193.6x/444.6x	Page returned ECONNRESET on 2 direct fetch attempts; content reconstructed from a web-search snippet only. Article states calibration itself is 'the one thing nobody has measured yet.'
https://github.com/aiwithenoch/Jev-Skill	harness;calibration	Open-source harness adding consensus, verification, abstention and calibration-fitting tooling around Jev/local-LLM decisions; ships CLI benchmarking tools but no published accuracy numbers of its own	Repeatedly stresses that derived local-model probabilities are 'not the same as ... hosted Jev probabilities' and must be benchmarked separately.
https://github.com/Alpha-Harper-Franklin/jev-multimodal	harness;domain-benchmark	Multimodal decision toolkit pairing a local vision backend (Qwen2.5-VL) with hosted (text-only) Jev; reports 5.95x speedup from shared-prefix batching and near-identical accuracy across batching strategies, but Jev itself is only spot-checked on small OCR/PDF examples	Measured accuracy numbers are for the local vision backend's batching strategies, not for Jev's own decision accuracy. Not affiliated with TypeSafe.
https://github.com/altryne/jevify	meta;harness	Agent skill teaching when to delegate judgments to Jev; curates (but does not reproduce) external community benchmarks -- e.g. Every's 777 judgments/37 docs in 0.7s, Aera's 400-task memory-selection study -- explicitly unverified by this repo	"Fits the ""meta"" pattern (evidence ledger of others' Jev experiments) rather than an original measurement; skill/tool primarily, evaluation secondary and not independently confirmed."
https://github.com/an-author-1/gisbey-lab	harness	Working laboratory protocol for testing whether Jev can select meaningful literary connections between text passages; only one live Jev call has been run so far (a single Choice at confidence 0.44), with formal comparison experiments still unrun	Explicitly early-stage: corpus/harness implemented, sentence mapping unreviewed, no held-out comparison or calibration claims made yet.
https://github.com/anupa-perera/f1-jev-simulation	harness;comparison	Harness comparing Jev vs GPT-5.6 models on F1 race-winner forecasting (log loss, Brier, Spearman) with a self-correcting round-based ladder, but no head-to-head result numbers are published in the README	Well-built comparison tool but this README shows no actual Jev-vs-LLM result table.
https://github.com/apolinario/decision-index	harness;meta	Reproduction kit for a 37-benchmark 'Decision Index' for typed decision engines in general (BFCL, MMLU, GPQA, etc.); can score a Jev-compatible endpoint and reproduces one prior 'jevfire' leaderboard result, but publishes no fresh Jev numbers itself	General-purpose decision-engine benchmark, not Jev-specific; 'jevfire' entry reproduced has unclear/unconfirmed relation to TypeSafe's Jev. Not affiliated with TypeSafe.
https://arize.com/blog/typesafe-jev-llm-judge	comparison;domain-benchmark	Compiles TypeSafe's own per-case evals (68% accuracy, $0.0004, 0.4s) plus third-party tests (NearHere 96% vs Gemini 86%) rather than running new agreement tests itself	Numbers are a mix of vendor-published evals and cited third-party tests (Every.to, NearHere), not original Arize benchmarking of judge agreement.
https://github.com/arunav25/jev-mcp	harness	MCP server exposing Jev plus a statistically-evaluation harness (power analysis, McNemar, Brier/ECE, bootstrap CIs) for comparing Jev vs LLM baselines on user-supplied labeled datasets - a methodology/tool, with no filled-in Jev-vs-LLM results of its own	No completed Jev-vs-LLM benchmark is published in the README; it is presented as a tool for others to run such comparisons.
https://github.com/baekenough/jev-study	harness;language;meta	Pre-registered plan to benchmark Jev vs BM25/embeddings/reranker/LLM-router on Korean-language document routing; no code or results exist yet	README states no code exists yet (pre-M0); pre-registers a go/no-go decision rule for Korean routing accuracy vs baselines before any run.
https://github.com/bnsd55/jevmlx	harness;comparison	Open local MLX decision-scoring engine (jevmlx) whose leaderboard cites TypeSafe's official Jev eval numbers (67.8% accuracy) alongside locally measured Qwen runs (63-85%) on the same 45 public example cases	"Jev's own row is ""official (cited),"" not independently reproduced here; local numbers explicitly called ""indicative, not the same test."""
https://github.com/bnskaggs/jev-vs-polymarket	harness;calibration	Probes whether Jev gives calibrated yes/no probabilities on resolved Polymarket questions vs the market price, with a full metrics suite (Brier, ECE, AUC), but the README reports no result numbers	Well-designed calibration harness (reliability plots, confidence-gated routing) but no numbers published in this file.
https://github.com/boris-gans/jev-sbs-experiment	harness;domain-benchmark;comparison	Internal harness comparing Jev and 'GPT nano' on 800 directed product-relation pairs (duplicate/co-purchase/alternative/incompatibility) from two e-commerce catalogs; results are written to gitignored output directories, not published in the README	Local internal experiment tooling for FERODEV-8283; no results table appears in the README text itself.
https://github.com/bradagi/ruling	comparison;calibration;consistency	"Open local-model reproduction of Jev (""ruling"") benchmarked head-to-head against Jev's own published numbers on TypeSafe's 102 rows and Every's 154 judgments; overall accuracy ties (238 vs 231 of 256, McNemar p=0.21) but Jev leads on confidence-ordering"	Jev's numbers are cited/published elsewhere, not independently run by this repo; fine-tuning narrows but does not close the calibration gap.
