url	section	categories	description	data_and_n	model_version	key_numbers	author_type	date	notes
https://docs.typesafe.ai/cookbooks/consistency_choice_cookbook	Official material	consistency	Repeats 8 Choice questions on one ambiguous post across seven conditions; 99.2% agreement at a 0.60 threshold, flips on 2 of 8 questions						
https://docs.typesafe.ai/cookbooks/consistency_noul_cookbook	Official material	consistency	Repeats 14 Noul questions 15 times each on one insurance claim; standard deviation 0.0102, one borderline answer ranging 0.43 to 0.53 across a 0.5 threshold						
https://docs.typesafe.ai/model-jaggedness/jev-1.13	Official material	failure-modes	TypeSafe's own list of nine failure modes: literal reading, counting, numeric and date comparison, indirection, distracting state, adversarial content, contradictory criteria, non-guaranteed invariants, generation. Qualitative, with one numeric example (a Noul and its negation summing to 1.19)						
https://evals.typesafe.ai	Official material	comparison	TypeSafe's four-workflow comparison of Jev against frontier models, 61.7% to 76.0% agreement; the reference label is the average of two frontier models, which several independent write-ups criticise						
https://github.com/Adilmp/does-jev-confidence-mean-anything	Calibration and confidence	calibration;perturbation	Audits Jev's stated confidence against human-annotated ground truth (civil_comments) rather than another model's opinion: at ~75% stated confidence, only 10% of comments were actually flagged by humans; a 2-parameter recalibration removes 96% of the error	8,000 judgments (400 comments x 4 questions x wording variants), civil_comments dataset	jev-1.13.0	hard-sample ECE 0.157->0.023 after recalibration; natural-sample ECE 0.209->0.007; AUC ~0.90-0.92 (unchanged by recalibration); wording ECE spans 0.21-0.52	independent dev	2026	"Notes AUC is high (ranking is good) even though calibration is bad, i.e. ""calibrated"" is technically true by rank correlation (0.96) but misleading for thresholding; ships a companion fix-it tool (jevcal)."
https://github.com/ajanm007/jevrag	Calibration and confidence	calibration;domain-benchmark;consistency	Calibration-first evaluation of Jev across five RAG mid-pipeline decisions: confidence ranks well (AURC) but is poorly calibrated on retrieval-stopping (ECE 0.33, Brier skill -0.45) yet well-calibrated on chunk-boundary (ECE 0.087, Brier skill +0.21) with the identical backend and harness	HotpotQA n=700 test/300 val; chunk-boundary 119 candidate boundaries + 2 real documents; context-selection n=192 (HotpotQA)/n=300 (SciFact); answer-abstain n=30	Jev (TypeSafe AI, via API)	Sufficiency: AURC 0.4470, ECE 0.3322, Brier skill -0.4486; chunk-boundary: ECE 0.087, Brier skill +0.21; gated retrieval reduces rounds 38.5% at statistically-tied accuracy	independent dev		Central finding is that Jev's calibration quality is decision-specific, not one global property; documents statistical testing (McNemar, paired bootstrap) and negative/refused results (e.g. a discarded invalid-ground-truth test) rather than hiding them.
https://anth.us/blog/can-you-trust-jev-confidence	Calibration and confidence	calibration	Calibration by question type on 8,801 labeled sentiment examples: Noul stated 79.0% vs 72.3% actual, Choice 91.4% vs 76.1%; the 50 to 95% confidence band was only 50 to 57% correct						
https://github.com/AnthusAI/Jev-Calibration	Calibration and confidence	calibration;comparison	Calibration study on 8,801 labeled sentiment examples: Jev's raw Noul/Choice probabilities are overconfident (ECE 0.117 for Noul-as-P(positive), worse for Choice), isotonic regression cuts ECE to 0.008, and calibrated Jev beats Llama 3.1-8B at separating right from wrong answers	8,801 unique labeled sentiment examples (5,280 calibration / 3,521 test)	jev-1.13.0	Raw ECE 0.117 -> Platt 0.052 -> isotonic 0.008; Choice mean confidence 91.4% vs accuracy 76.1% (overconfident); AUROC Jev 0.83 vs Llama 3.1-8B 0.72	researcher/academic	2026	Rigorous cross-validated methodology with a held-out test split and a calibration-set-size sweep (20 to 5,280 examples); finds question wording/option order matters little once calibrated.
https://beri.net/article/typesafe-jev-typed-decision-model-calibration-decompo	Calibration and confidence	calibration;comparison;adversarial;meta	Pulls together the phishing study (62.6% as one question, 95.0% decomposed into five) and the 900-ticket OOD calibration test (ECE 0.107, 4.4x the noise floor); recommends per-question calibration and a none option						
https://github.com/cx295410-dot/jev-biomedical-evidence-screening	Calibration and confidence	calibration;domain-benchmark	Frozen Jev predictions scored for discrimination, calibration and high-recall screening workload on SYNERGY systematic-review data	SYNERGY V1, 10 reviews, 17,191 review-record pairs, 392 eventual inclusions	jev-1.13.0	17,191 pairs; 392 inclusions; 5,000 bootstrap replicates; 10 reviews	researcher/academic	2026 (v1.0.0 release)	Frozen-prediction release only, no rerun of original inference; labels are final-inclusion not title/abstract adjudication; small review count (10) limits generalization.
https://doi.org/10.5281/zenodo.22901853	Calibration and confidence	calibration;meta	Independent measurement of Jev as one of three judgment layers, testing whether the self-reported confidence fields track correctness						
